日期,计划ID,计划,单元,单元ID,总花费,展示量,点击量,点击率,千次展示价格,单次点击价格,播放量,播放率,播放成本,互动量,互动率,互动成本,涨粉数,涨粉成本,涨粉率,播转粉率
2023-03-13,2866377,小新Air14 2023官方上手-0313,story,11472339,499.96,44404,324,0.73,11.26,1.54,4905,11.05,0.1,15,0.03,33.33,1,499.96,0.31,0.02
2023-03-13,2867010,入门级也能给你带来不小的惊喜-0313,story,11472394,500.24,43898,321,0.73,11.4,1.56,4462,10.16,0.11,16,0.04,31.26,3,166.75,0.93,0.07
2023-03-13,2866275,超智能电脑之智能降噪技术（上）-0313,story,11472228,500.99,43042,404,0.94,11.64,1.24,4476,10.4,0.11,25,0.06,20.04,0,0,0,0
2023-03-13,2866175,小新 16 2023开箱-0313,story,11469332,525.96,50983,263,0.52,10.32,2,5470,10.73,0.1,150,0.29,3.51,3,175.32,1.14,0.05
2023-03-13,2866289,小新 Air14 2023开箱-0313,story,11472262,531.95,35277,135,0.38,15.08,3.94,6344,17.98,0.08,123,0.35,4.32,3,177.32,2.22,0.05
2023-03-13,2866175,小新 16 2023开箱-0313,程序化2,11464826,476.65,137162,6124,4.46,3.48,0.08,4732,3.45,0.1,33,0.02,14.44,4,119.16,0.07,0.08
2023-03-13,2866377,小新Air14 2023官方上手-0313,程序化7,11465615,274.14,92693,3360,3.62,2.96,0.08,2326,2.51,0.12,13,0.01,21.09,2,137.07,0.06,0.09
2023-03-13,2866768,小新Pro14/16 2023官方上手-0313,story,11472372,429.21,35496,261,0.74,12.09,1.64,3677,10.36,0.12,24,0.07,17.88,1,429.21,0.38,0.03
2023-03-14,2866768,小新Pro14/16 2023官方上手-0313,程序化8,11467575,68.71,18368,970,5.28,3.74,0.07,787,4.28,0.09,3,0.02,22.9,2,34.36,0.21,0.25
2023-03-14,2866200,小新 14 2023开箱-0313,程序化3,11465111,0.03,9,3,33.33,3.33,0.01,1,11.11,0.03,0,0,0,0,0,0,0
2023-03-14,2866175,小新 16 2023开箱-0313,程序化2,11464826,0.08,15,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0
2023-03-14,2866289,小新 Air14 2023开箱-0313,程序化5,11465320,0.03,10,1,10,3,0.03,1,10,0.03,0,0,0,0,0,0,0
2023-03-14,2866307,产品测试标准-0313,story,11472308,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-14,2858041,降噪技术哪家强？（下）-0313,story,11469008,0.02,2,1,50,10,0.02,0,0,0,0,0,0,0,0,0,0
2023-03-14,2867010,入门级也能给你带来不小的惊喜-0313,程序化9,11468873,8.07,3186,152,4.77,2.53,0.05,83,2.61,0.1,1,0.03,8.07,0,0,0,0
2023-03-14,2866200,小新 14 2023开箱-0313,story,11471840,0.07,8,0,0,8.75,0,2,25,0.04,0,0,0,0,0,0,0
2023-03-14,2866275,超智能电脑之智能降噪技术（上）-0313,story,11472228,329.46,24263,237,0.98,13.58,1.39,3461,14.26,0.1,5,0.02,65.89,0,0,0,0
2023-03-14,2866377,小新Air14 2023官方上手-0313,程序化7,11465615,3.52,888,78,8.78,3.96,0.05,21,2.36,0.17,0,0,0,0,0,0,0
2023-03-14,2867010,入门级也能给你带来不小的惊喜-0313,story,11472394,340.12,37112,294,0.79,9.16,1.16,3967,10.69,0.09,12,0.03,28.34,1,340.12,0.34,0.03
2023-03-14,2866307,产品测试标准-0313,程序化6,11465291,0.1,27,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0
2023-03-14,2866175,小新 16 2023开箱-0313,story,11469332,0.13,7,0,0,18.57,0,1,14.29,0.13,0,0,0,0,0,0,0
2023-03-14,2866768,小新Pro14/16 2023官方上手-0313,story,11472372,0.02,6,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0
2023-03-14,2866275,超智能电脑之智能降噪技术（上）-0313,程序化4,11465173,6.07,2327,120,5.16,2.61,0.05,63,2.71,0.1,3,0.13,2.02,0,0,0,0
2023-03-14,2858041,降噪技术哪家强？（下）-0313,程序化,11464652,0.33,66,9,13.64,5,0.04,5,7.58,0.07,0,0,0,0,0,0,0
2023-03-14,2866377,小新Air14 2023官方上手-0313,story,11472339,231.2,13503,124,0.92,17.12,1.86,2224,16.47,0.1,5,0.04,46.24,0,0,0,0
2023-03-14,2866289,小新 Air14 2023开箱-0313,story,11472262,0.12,6,0,0,20,0,3,50,0.04,0,0,0,0,0,0,0
2023-03-15,2874165,小新 Pro16 2023开箱-0315涨粉,1,11511319,525.61,30778,190,0.62,17.08,2.77,1832,5.95,0.29,0,0,0,59,8.91,31.05,3.22
2023-03-15,2858041,降噪技术哪家强？（下）-0313,story,11469008,523.66,30627,219,0.72,17.1,2.39,5135,16.77,0.1,12,0.04,43.64,0,0,0,0
2023-03-15,2866275,降噪技术哪家强？（上）-0313,程序化4,11465173,199.79,65028,2465,3.79,3.07,0.08,1898,2.92,0.11,11,0.02,18.16,0,0,0,0
2023-03-15,2858041,降噪技术哪家强？（下）-0313,程序化,11464652,272.23,116932,3019,2.58,2.33,0.09,2572,2.2,0.11,11,0.01,24.75,1,272.23,0.03,0.04
2023-03-15,2874158,小新 Pro16 2023开箱-0315,1,11511150,539,47818,563,1.18,11.27,0.96,5249,10.98,0.1,59,0.12,9.14,0,0,0,0
2023-03-15,2874825,产品测试标准-0315涨粉,1,11515190,171.01,17983,72,0.4,9.51,2.38,313,1.74,0.55,0,0,0,16,10.69,22.22,5.11
2023-03-15,2866307,产品测试标准-0313,程序化6,11465291,346.59,79243,5184,6.54,4.37,0.07,4325,5.46,0.08,15,0.02,23.11,3,115.53,0.06,0.07
2023-03-15,2866307,产品测试标准-0313,story,11472308,504.81,29784,192,0.64,16.95,2.63,4622,15.52,0.11,13,0.04,38.83,1,504.81,0.52,0.02
2023-03-15,2874396,降噪技术哪家强？（上）-0316涨粉,1,11515130,206.77,19272,110,0.57,10.73,1.88,291,1.51,0.71,0,0,0,11,18.8,10,3.78
2023-03-15,2874404,降噪技术哪家强？（下）-0315涨粉,1,11515160,207.31,19494,121,0.62,10.63,1.71,285,1.46,0.73,0,0,0,8,25.91,6.61,2.81
2023-03-15,2866275,降噪技术哪家强？（上）-0313,story,11472228,505.23,32310,223,0.69,15.64,2.27,4944,15.3,0.1,10,0.03,50.52,1,505.23,0.45,0.02
2023-03-16,2866275,降噪技术哪家强？（上）-0313,程序化4,11465173,0.14,17,3,17.65,8.24,0.05,1,5.88,0.14,0,0,0,0,0,0,0
2023-03-16,2858041,降噪技术哪家强？（下）-0313,story,11469008,0.02,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2023-03-16,2866307,产品测试标准-0313,程序化6,11465291,0.18,26,1,3.85,6.92,0.18,0,0,0,0,0,0,0,0,0,0
2023-03-16,2874165,小新 Pro16 2023开箱-0315涨粉,涨粉,11511319,0.01,3,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0
2023-03-16,2866275,降噪技术哪家强？（上）-0313,story,11472228,0.04,3,0,0,13.33,0,0,0,0,0,0,0,0,0,0,0
2023-03-16,2858041,降噪技术哪家强？（下）-0313,程序化,11464652,0.07,20,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0
2023-03-16,2874158,小新 Pro16 2023开箱-0315,1,11511150,0.03,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2023-03-16,2866307,产品测试标准-0313,story,11472308,0.01,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2023-03-17,2866307,产品测试标准-0313,程序化6,11465291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-17,2874158,小新 Pro16 2023开箱-0315,1,11511150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-17,2866307,产品测试标准-0313,story,11472308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-17,2874396,降噪技术哪家强？（上）-0316涨粉,涨粉,11515130,1.38,1523,19,1.25,0.91,0.07,13,0.85,0.11,0,0,0,1,1.38,5.26,7.69
2023-03-17,2883604,小新“丝绸铝”光泽丝滑的秘密-0317涨粉,涨粉,11569093,1.54,1840,11,0.6,0.84,0.14,5,0.27,0.31,0,0,0,1,1.54,9.09,20
2023-03-17,2874165,小新 Pro16 2023开箱-0315涨粉,涨粉,11511319,6,3669,74,2.02,1.64,0.08,59,1.61,0.1,0,0,0,3,2,4.05,5.08
2023-03-17,2874404,降噪技术哪家强？（下）-0315涨粉,涨粉,11515160,1.02,1024,18,1.76,1,0.06,16,1.56,0.06,0,0,0,0,0,0,0
2023-03-17,2874825,产品测试标准-0315涨粉,涨粉,11515190,1.35,1337,17,1.27,1.01,0.08,11,0.82,0.12,0,0,0,2,0.68,11.76,18.18
2023-03-18,2883604,小新“丝绸铝”光泽丝滑的秘密-0317涨粉,涨粉_s,11581940,221.03,5976,5,0.08,36.99,44.21,171,2.86,1.29,0,0,0,17,13,340,9.94
2023-03-18,2883604,小新“丝绸铝”光泽丝滑的秘密-0317涨粉,涨粉,11569093,180.82,140546,1569,1.12,1.29,0.12,1093,0.78,0.17,0,0,0,32,5.65,2.04,2.93
2023-03-18,2874825,产品测试标准-0315涨粉,涨粉_s,11581909,103.78,3637,6,0.16,28.53,17.3,150,4.12,0.69,0,0,0,37,2.8,616.67,24.67
2023-03-18,2874404,降噪技术哪家强？（下）-0315涨粉,涨粉,11515160,92.03,80398,851,1.06,1.14,0.11,525,0.65,0.18,0,0,0,19,4.84,2.23,3.62
2023-03-18,2874158,小新 Pro16 2023开箱-0315,1,11511150,461.92,34612,496,1.43,13.35,0.93,3724,10.76,0.12,45,0.13,10.26,3,153.97,0.6,0.08
2023-03-18,2874165,小新 Pro16 2023开箱-0315涨粉,涨粉,11511319,147.25,59364,905,1.52,2.48,0.16,735,1.24,0.2,0,0,0,44,3.35,4.86,5.99
2023-03-18,2874404,降噪技术哪家强？（下）-0315涨粉,涨粉_s,11581897,119.32,3052,3,0.1,39.1,39.77,48,1.57,2.49,0,0,0,6,19.89,200,12.5
2023-03-18,2874165,小新 Pro16 2023开箱-0315涨粉,涨粉_s,11580686,427.87,12272,15,0.12,34.87,28.52,876,7.14,0.49,0,0,0,83,5.16,553.33,9.47
2023-03-18,2874825,产品测试标准-0315涨粉,涨粉,11515190,11.22,15677,114,0.73,0.72,0.1,85,0.54,0.13,0,0,0,1,11.22,0.88,1.18
2023-03-18,2874396,降噪技术哪家强？（上）-0316涨粉,涨粉_s,11581890,89.56,2784,7,0.25,32.17,12.79,77,2.77,1.16,0,0,0,12,7.46,171.43,15.58
2023-03-18,2866307,产品测试标准-0313,程序化6,11465291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-18,2874396,降噪技术哪家强？（上）-0316涨粉,涨粉,11515130,35.61,44140,372,0.84,0.81,0.1,252,0.57,0.14,0,0,0,10,3.56,2.69,3.97
2023-03-18,2866307,产品测试标准-0313,story,11472308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-19,2874404,降噪技术哪家强？（下）-0315涨粉,涨粉_s,11581897,16.81,600,2,0.33,28.02,8.4,16,2.67,1.05,0,0,0,5,3.36,250,31.25
2023-03-19,2874825,产品测试标准-0315涨粉,涨粉,11515190,8.85,11479,88,0.77,0.77,0.1,67,0.58,0.13,0,0,0,3,2.95,3.41,4.48
2023-03-19,2874396,降噪技术哪家强？（上）-0316涨粉,涨粉_s,11581890,41.28,1326,1,0.08,31.13,41.28,51,3.85,0.81,0,0,0,12,3.44,1200,23.53
2023-03-19,2874825,产品测试标准-0315涨粉,涨粉_s,11581909,494.52,13296,22,0.17,37.19,22.48,575,4.32,0.86,0,0,0,96,5.15,436.36,16.7
2023-03-19,2883604,小新“丝绸铝”光泽丝滑的秘密-0317涨粉,涨粉,11569093,274.43,210857,2257,1.07,1.3,0.12,1593,0.76,0.17,0,0,0,49,5.6,2.17,3.08
2023-03-19,2883604,小新“丝绸铝”光泽丝滑的秘密-0317涨粉,涨粉_s,11581940,10.95,280,0,0,39.11,0,9,3.21,1.22,0,0,0,0,0,0,0
2023-03-19,2874165,小新 Pro16 2023开箱-0315涨粉,涨粉,11511319,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-19,2874396,降噪技术哪家强？（上）-0316涨粉,涨粉,11515130,107.54,96298,1054,1.09,1.12,0.1,732,0.76,0.15,0,0,0,25,4.3,2.37,3.42
2023-03-19,2866307,产品测试标准-0313,story,11472308,239.28,19455,97,0.5,12.3,2.47,2373,12.2,0.1,21,0.11,11.39,2,119.64,2.06,0.08
2023-03-19,2874158,小新 Pro16 2023开箱-0315,1,11511150,0.14,8,0,0,17.5,0,1,12.5,0.14,0,0,0,0,0,0,0
2023-03-19,2866307,产品测试标准-0313,程序化6,11465291,194.87,30869,1245,4.03,6.31,0.16,1079,3.5,0.18,1,0,194.87,1,194.87,0.08,0.09
2023-03-19,2874404,降噪技术哪家强？（下）-0315涨粉,涨粉,11515160,125.18,98015,1219,1.24,1.28,0.1,806,0.82,0.16,0,0,0,23,5.44,1.89,2.85
2023-03-20,2874404,降噪技术哪家强？（下）-0315涨粉,涨粉,11515160,64.26,39192,574,1.46,1.64,0.11,378,0.96,0.17,0,0,0,9,7.14,1.57,2.38
2023-03-20,2883604,小新“丝绸铝”光泽丝滑的秘密-0317涨粉,涨粉_s_副本,11602519,17.58,599,2,0.33,29.35,8.79,19,3.17,0.93,0,0,0,2,8.79,100,10.53
2023-03-20,2874396,降噪技术哪家强？（上）-0316涨粉,涨粉_副本,11620270,1.18,1357,9,0.66,0.87,0.13,6,0.44,0.2,0,0,0,0,0,0,0
2023-03-20,2874396,降噪技术哪家强？（上）-0316涨粉,涨粉,11515130,112.79,58488,879,1.5,1.93,0.13,598,1.02,0.19,0,0,0,17,6.63,1.93,2.84
2023-03-20,2874396,降噪技术哪家强？（上）-0316涨粉,涨粉_s,11581890,48.03,1421,5,0.35,33.8,9.61,58,4.08,0.83,0,0,0,7,6.86,140,12.07
2023-03-20,2866307,产品测试标准-0313,程序化6,11465291,0.02,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2023-03-20,2866307,产品测试标准-0313,story,11472308,0.01,1,0,0,10,0,1,100,0.01,0,0,0,0,0,0,0
2023-03-20,2883604,小新“丝绸铝”光泽丝滑的秘密-0317涨粉,涨粉,11569093,76.49,64598,632,0.98,1.18,0.12,494,0.76,0.15,0,0,0,11,6.95,1.74,2.23
2023-03-20,2883604,小新“丝绸铝”光泽丝滑的秘密-0317涨粉,涨粉_s,11581940,0.29,12,0,0,24.17,0,0,0,0,0,0,0,0,0,0,0
2023-03-20,2874404,降噪技术哪家强？（下）-0315涨粉,涨粉_s,11581897,3.43,121,1,0.83,28.35,3.43,3,2.48,1.14,0,0,0,0,0,0,0
2023-03-21,2874404,降噪技术哪家强？（下）-0315涨粉,涨粉,11515160,78.22,47386,614,1.3,1.65,0.13,421,0.89,0.19,0,0,0,13,6.02,2.12,3.09
2023-03-21,2874404,降噪技术哪家强？（下）-0315涨粉,涨粉_s,11581897,1.6,219,3,1.37,7.31,0.53,3,1.37,0.53,0,0,0,0,0,0,0
2023-03-21,2874396,降噪技术哪家强？（上）-0316涨粉,涨粉_s,11581890,29.71,930,3,0.32,31.95,9.9,35,3.76,0.85,0,0,0,4,7.43,133.33,11.43
2023-03-21,2883604,小新“丝绸铝”光泽丝滑的秘密-0317涨粉,涨粉,11569093,105.05,56593,764,1.35,1.86,0.14,534,0.94,0.2,0,0,0,15,7,1.96,2.81
2023-03-21,2896022,小新“丝绸铝”光泽丝滑的秘密-0321,story,11646407,234.88,31470,326,1.04,7.46,0.72,1120,3.56,0.21,12,0.04,19.57,1,234.88,0.31,0.09
2023-03-21,2874396,降噪技术哪家强？（上）-0316涨粉,涨粉,11515130,153.6,82666,1220,1.48,1.86,0.13,865,1.05,0.18,0,0,0,16,9.6,1.31,1.85
2023-03-21,2883604,小新“丝绸铝”光泽丝滑的秘密-0317涨粉,涨粉_s,11581940,0.03,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0
2023-03-22,2874396,降噪技术哪家强？（上）-0316涨粉,涨粉_s,11581890,3.07,189,4,2.12,16.24,0.77,6,3.17,0.51,0,0,0,0,0,0,0
2023-03-22,2896022,小新“丝绸铝”光泽丝滑的秘密-0321,story,11646407,220.26,28067,326,1.16,7.85,0.68,1268,4.52,0.17,6,0.02,36.71,1,220.26,0.31,0.08
2023-03-22,2874404,降噪技术哪家强？（下）-0315涨粉,涨粉_s,11581897,0.23,132,4,3.03,1.74,0.06,4,3.03,0.06,0,0,0,1,0.23,25,25
2023-03-22,2874404,降噪技术哪家强？（下）-0315涨粉,涨粉,11515160,70.11,46545,628,1.35,1.51,0.11,446,0.96,0.16,0,0,0,4,17.53,0.64,0.9
2023-03-22,2874396,降噪技术哪家强？（上）-0316涨粉,涨粉,11515130,92.3,54332,777,1.43,1.7,0.12,548,1.01,0.17,0,0,0,9,10.26,1.16,1.64
2023-03-23,2874396,降噪技术哪家强？（上）-0316涨粉,涨粉,11515130,39.56,27529,376,1.37,1.44,0.11,270,0.98,0.15,0,0,0,12,3.3,3.19,4.44
2023-03-23,2874825,产品测试标准-0315涨粉,涨粉_s,11581909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23,2874404,降噪技术哪家强？（下）-0315涨粉,涨粉,11515160,96.02,52668,785,1.49,1.82,0.12,536,1.02,0.18,0,0,0,19,5.05,2.42,3.54
2023-03-23,2883604,小新“丝绸铝”光泽丝滑的秘密-0317涨粉,涨粉,11569093,177.57,82868,1241,1.5,2.14,0.14,894,1.08,0.2,0,0,0,21,8.46,1.69,2.35
2023-03-23,2874165,小新 Pro16 2023开箱-0315涨粉,涨粉,11511319,234.44,67777,1221,1.8,3.46,0.19,918,1.35,0.26,0,0,0,40,5.86,3.28,4.36
2023-03-23,2896022,小新“丝绸铝”光泽丝滑的秘密-0321,story,11646407,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2023-03-24,2874825,产品测试标准-0315涨粉,涨粉_s,11581909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-24,2883604,【极客先锋】第24期 联想自研铝材5L52获编进入国家标准GB/T 3190-涨粉,涨粉,11569093,334.8,199355,2431,1.22,1.68,0.14,1771,0.89,0.19,0,0,0,63,5.31,2.59,3.56
2023-03-24,2907302,【靠谱官测】升级的不止有性能丨拯救者Y7000P 2023官方上手-涨粉,1,11715241,52.35,33687,434,1.29,1.55,0.12,355,1.05,0.15,0,0,0,7,7.48,1.61,1.97
2023-03-24,2874165,【我想开了】上新机！| 小新 Pro16 2023开箱-0315涨粉,涨粉,11511319,455.54,170954,2629,1.54,2.66,0.17,2453,1.43,0.19,0,0,0,72,6.33,2.74,2.94
2023-03-24,2874404,降噪技术哪家强？（下）-0315涨粉,涨粉,11515160,86.47,54196,739,1.36,1.6,0.12,547,1.01,0.16,0,0,0,18,4.8,2.44,3.29
2023-03-24,2907266,【靠谱官测】入门级也能给你带来不小的惊喜丨小新14/16 2023官方上手-涨粉,1,11715117,33.53,40459,270,0.67,0.83,0.12,176,0.44,0.19,0,0,0,9,3.73,3.33,5.11
2023-03-24,2903576,【靠谱官测】Pro级性能再升级！丨小新Pro14/16 2023官方上手-涨粉,1,11693032,37.46,40932,240,0.59,0.92,0.16,190,0.46,0.2,0,0,0,2,18.73,0.83,1.05
2023-03-24,2903675,【我想开了】啥？logo又换了？ | 拯救者 Y9000P 2023至尊版开箱-涨粉,1_副本,11693121,220.67,112722,1613,1.43,1.96,0.14,1408,1.25,0.16,0,0,0,41,5.38,2.54,2.91
2023-03-24,2903684,【靠谱官测】响应你的需求丨小新Air14 2023官方上手-涨粉,1_副本_副本,11693356,39.18,42257,282,0.67,0.93,0.14,196,0.46,0.2,0,0,0,5,7.84,1.77,2.55
2023-03-24,2874396,降噪技术哪家强？（上）-0316涨粉,涨粉,11515130,32.68,28666,330,1.15,1.14,0.1,251,0.88,0.13,0,0,0,4,8.17,1.21,1.59
2023-03-25,2903684,【靠谱官测】响应你的需求丨小新Air14 2023官方上手-涨粉,1_副本_副本,11693356,115.54,106454,924,0.87,1.09,0.13,662,0.62,0.17,0,0,0,22,5.25,2.38,3.32
2023-03-25,2883604,【极客先锋】第24期 联想自研铝材5L52获编进入国家标准GB/T 3190-涨粉,涨粉,11569093,497,343034,3980,1.16,1.45,0.12,2754,0.8,0.18,0,0,0,72,6.9,1.81,2.61
2023-03-25,2907266,【靠谱官测】入门级也能给你带来不小的惊喜丨小新14/16 2023官方上手-涨粉,1,11715117,177.2,167484,1478,0.88,1.06,0.12,1160,0.69,0.15,0,0,0,25,7.09,1.69,2.16
2023-03-25,2874165,【我想开了】上新机！| 小新 Pro16 2023开箱-0315涨粉,涨粉,11511319,771.57,279006,4042,1.45,2.77,0.19,3679,1.32,0.21,0,0,0,116,6.65,2.87,3.15
2023-03-25,2903576,【靠谱官测】Pro级性能再升级！丨小新Pro14/16 2023官方上手-涨粉,1,11693032,66.45,83974,500,0.6,0.79,0.13,364,0.43,0.18,0,0,0,11,6.04,2.2,3.02
2023-03-25,2874404,降噪技术哪家强？（下）-0315涨粉,涨粉,11515160,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-25,2907302,【靠谱官测】升级的不止有性能丨拯救者Y7000P 2023官方上手-涨粉,1,11715241,318.84,184340,2342,1.27,1.73,0.14,1865,1.01,0.17,0,0,0,53,6.02,2.26,2.84
2023-03-25,2903675,【我想开了】啥？logo又换了？ | 拯救者 Y9000P 2023至尊版开箱-涨粉,1_副本,11693121,542.45,285587,3161,1.11,1.9,0.17,2584,0.9,0.21,0,0,0,102,5.32,3.23,3.95
2023-03-26,2907266,【靠谱官测】入门级也能给你带来不小的惊喜丨小新14/16 2023官方上手-涨粉,1,11715117,457.51,319173,3776,1.18,1.43,0.12,2660,0.83,0.17,0,0,0,64,7.15,1.69,2.41
2023-03-26,2883604,【极客先锋】第24期 联想自研铝材5L52获编进入国家标准GB/T 3190-涨粉,涨粉,11569093,435.04,292303,3131,1.07,1.49,0.14,2148,0.73,0.2,0,0,0,53,8.21,1.69,2.47
2023-03-26,2883604,【极客先锋】第24期 联想自研铝材5L52获编进入国家标准GB/T 3190-涨粉,涨粉_s_副本,11602519,73.75,2689,6,0.22,27.43,12.29,143,5.32,0.52,0,0,0,12,6.15,200,8.39
2023-03-26,2874165,【我想开了】上新机！| 小新 Pro16 2023开箱-0315涨粉,涨粉,11511319,349.69,170314,2064,1.21,2.05,0.17,1635,0.96,0.21,0,0,0,48,7.29,2.33,2.94
2023-03-26,2903576,【靠谱官测】Pro级性能再升级！丨小新Pro14/16 2023官方上手-涨粉,1,11693032,298.09,186374,2220,1.19,1.6,0.13,1532,0.82,0.19,0,0,0,46,6.48,2.07,3
2023-03-26,2907302,【靠谱官测】升级的不止有性能丨拯救者Y7000P 2023官方上手-涨粉,1,11715241,279.49,153338,2104,1.37,1.82,0.13,1589,1.04,0.18,0,0,0,31,9.02,1.47,1.95
2023-03-26,2903675,【我想开了】啥？logo又换了？ | 拯救者 Y9000P 2023至尊版开箱-涨粉,1_副本,11693121,574.76,233933,2884,1.23,2.46,0.2,2391,1.02,0.24,0,0,0,93,6.18,3.22,3.89
2023-03-26,2903684,【靠谱官测】响应你的需求丨小新Air14 2023官方上手-涨粉,1_副本_副本,11693356,220.17,150401,1561,1.04,1.46,0.14,1103,0.73,0.2,0,0,0,29,7.59,1.86,2.63
2023-03-27,2907266,【靠谱官测】入门级也能给你带来不小的惊喜丨小新14/16 2023官方上手-涨粉,1,11715117,139.84,107895,985,0.91,1.3,0.14,693,0.64,0.2,0,0,0,17,8.23,1.73,2.45
2023-03-27,2903675,【我想开了】啥？logo又换了？ | 拯救者 Y9000P 2023至尊版开箱-涨粉,story,11774624,63.04,2682,17,0.63,23.5,3.71,207,7.72,0.3,0,0,0,17,3.71,100,8.21
2023-03-27,2874165,【我想开了】上新机！| 小新 Pro16 2023开箱-0315涨粉,涨粉,11511319,258.84,91691,1219,1.33,2.82,0.21,1066,1.16,0.24,0,0,0,34,7.61,2.79,3.19
2023-03-27,2907302,【靠谱官测】升级的不止有性能丨拯救者Y7000P 2023官方上手-涨粉,1,11715241,187.25,108073,1611,1.49,1.73,0.12,1151,1.07,0.16,0,0,0,27,6.94,1.68,2.35
2023-03-27,2883604,【极客先锋】第24期 联想自研铝材5L52获编进入国家标准GB/T 3190-涨粉,涨粉_s_副本,11602519,3.5,407,1,0.25,8.6,3.5,5,1.23,0.7,0,0,0,1,3.5,100,20
2023-03-27,2903684,【靠谱官测】响应你的需求丨小新Air14 2023官方上手-涨粉,1_副本_副本,11693356,105.15,70868,880,1.24,1.48,0.12,614,0.87,0.17,0,0,0,16,6.57,1.82,2.61
2023-03-27,2903576,【靠谱官测】Pro级性能再升级！丨小新Pro14/16 2023官方上手-涨粉,1,11693032,93.2,67964,759,1.12,1.37,0.12,505,0.74,0.18,0,0,0,13,7.17,1.71,2.57
2023-03-27,2903675,【我想开了】啥？logo又换了？ | 拯救者 Y9000P 2023至尊版开箱-涨粉,1_副本,11693121,334.56,153232,1815,1.18,2.18,0.18,1590,1.04,0.21,0,0,0,48,6.97,2.64,3.02
2023-03-27,2907266,【靠谱官测】入门级也能给你带来不小的惊喜丨小新14/16 2023官方上手-涨粉,story,11774616,3.94,201,0,0,19.6,0,1,0.5,3.94,0,0,0,0,0,0,0
2023-03-27,2903684,【靠谱官测】响应你的需求丨小新Air14 2023官方上手-涨粉,story,11774621,4.68,238,0,0,19.66,0,7,2.94,0.67,0,0,0,0,0,0,0
2023-03-27,2903576,【靠谱官测】Pro级性能再升级！丨小新Pro14/16 2023官方上手-涨粉,story,11774656,12.13,494,2,0.4,24.55,6.06,18,3.64,0.67,0,0,0,1,12.13,50,5.56
